ID_1,ID_2,y,v,study
1,1,1.604788743,0.02348793,study 1
1,2,1.87412675,0.032269852,study 1
1,3,1.967643984,0.026885189,study 1
1,4,2.443497852,0.015459523,study 1
1,5,1.840325838,0.008093547,study 1
1,6,1.158674907,0.008977422,study 1
2,7,3.000759693,7.98E-05,study 2
2,8,2.501641754,0.016084983,study 2
2,9,-0.192580491,0.019887547,study 2
3,10,1.090804928,0.139288334,study 3
3,11,1.016497591,0.162781837,study 3
3,12,0.256883287,0.273386417,study 3
4,13,2.270239959,0.185168858,study 4
5,14,1.207735222,0.144371362,study 5
5,15,2.029201924,0.223019817,study 5
5,16,0.645461604,0.025799591,study 5
6,17,0.44358245,0.009161733,study 6
7,18,1.081164995,0.004375552,study 7
7,19,0.943410568,0.002751191,study 7
7,20,1.641427909,0.001826778,study 7
8,21,-0.344120042,0.005598617,study 8
8,22,-0.379947395,0.004993934,study 8
9,23,3.046719387,1.01089592,study 9
9,24,2.511601992,0.110535914,study 9
9,25,1.387323674,0.099940728,study 9
10,26,2.078207842,0.279136283,study 10
10,27,1.733246618,0.144163438,study 10
10,28,1.99599919,0.265335571,study 10
11,29,0.302162056,0.012755786,study 11
11,30,0.293094145,0.01741505,study 11
11,31,0.277810915,0.019285513,study 11
11,32,0.22914879,0.026519728,study 11
12,33,0.872293962,0.148176308,study 12
12,34,0.769990696,0.050328791,study 12
12,35,0.895147299,0.016255985,study 12
13,36,4.383530534,0.282117082,study 13
13,37,1.746431065,0.052600246,study 13
13,38,6.87357323,0.324426393,study 13
14,39,1.443827419,0.421144965,study 14
15,40,4.788511798,0.338305746,study 15
15,41,4.283196883,0.022625297,study 15
16,42,0.228449059,0.007794254,study 16
16,43,0.317085514,0.12159532,study 16
16,44,2.000834406,0.307067661,study 16
16,45,0.37258854,0.017774683,study 16
16,46,0.152853928,0.002612392,study 16
